"GROUP"	"SUBJECT"	"AGE"	"sex"	"Participant.OS"	"Participant.Browser"	"randomiser_t27m"	"languages"	"response_6"	"mask.problems"	"Difficulty.x"	"Tiring"	"Difficulty.y"	"Distraction"	"n"	"Mean"	"Conf.level"	"Trad.lower"	"Trad.upper"
"a"	"210725_a138"	30.1666666666667	"Female"	"Windows 10"	"Edge 92.0.902.62"	"Version2"	"English"	"Born and raised in the UK"	"Yes sometimes"	3	3	2	2	111	211	0.95	185	237
"a"	"210725_a152"	29.75	"Male"	"Mac OS 10.13.6"	"Chrome 92.0.4515.107"	"Version4"	"English"	"Born and raised in the UK"	"Yes sometimes"	2	1	1	1	114	469	0.95	433	505
"a"	"210725_a177"	21.6666666666667	"Male"	"Windows 10"	"Chrome 92.0.4515.131"	"Version5"	"English and another language (bilingual)"	"Born and raised in the UK"	"No"	1	1	1	3	114	456	0.95	426	485
"a"	"210725_a81"	29	"Female"	"Mac OS 10.15"	"Firefox 89.0"	"Version3"	"English"	"Raised in the UK from this age (please specify):"	"Yes sometimes"	3	4	2	2	112	283	0.95	253	313
"a"	"210725_a84"	25.5	"Female"	"Mac OS 10.14.6"	"Chrome 92.0.4515.107"	"Version6"	"English"	"Raised in the UK from this age (please specify):"	"Yes sometimes"	3	3	1	2	115	949	0.95	873	1020
"a"	"210725_a98"	31.75	"Male"	"Ubuntu undefined"	"Firefox 91.0"	"Version4"	"English"	"Born and raised in the UK"	"Yes sometimes"	2	2	2	3	112	254	0.95	224	283
"c"	"210725_c124"	9.25	"Male"	"Windows 10"	"Chrome 92.0.4515.159"	"Version1"	"English"	"Born and raised in the UK"	"No"	2	2	2	3	103	403	0.95	373	433
"c"	"210725_c125"	0	"Male"	"Windows 10"	"Chrome 92.0.4515.159"	"Version2"	"English"	"Born and raised in the UK"	"I don't know"	2	2	1	2	104	333	0.95	298	368
"c"	"210725_c128"	10.75	"Male"	"Chromium OS 13904.41.0"	"Chrome 91.0.4472.81"	"Version5"	"English"	"Born and raised in the UK"	"No"	2	3	2	3	110	308	0.95	272	344
"c"	"210725_c133"	0	"Female"	"Windows 10"	"Edge 92.0.902.73"	"Version2"	"English"	"Born and raised in the UK"	"Yes sometimes"	2	1	2	4	104	837	0.95	750	924
"c"	"210725_c141"	10.5833333333333	"Male"	"Windows 10"	"Firefox 78.0"	"Version8"	"English"	"Born and raised in the UK"	"Yes sometimes"	2	1	1	1	105	382	0.95	351	412
"c"	"210725_c98"	11.4166666666667	"Female"	"Mac OS 10.15.6"	"Safari 14.1.1"	"Version5"	"English"	"Born and raised in the UK"	"No"	1	1	1	2	63	351	0.95	315	387
"c"	"210818_c166"	8.66666666666667	"Male"	"Windows 10"	"Chrome 92.0.4515.131"	"Version4"	"English"	"Born and raised in the UK"	"No"	2	1	2	2	104	475	0.95	440	509
"c"	"210823_c180"	12.9166666666667	"Female"	"Windows 10"	"Chrome 92.0.4515.159"	"Version2"	"English"	"Born and raised in the UK"	"Yes sometimes"	2	1	1	1	113	1220	0.95	1160	1270
