"","parid","scheduleID","react1","react2","accuracy","note","number","correctans","audio","video","context","group","type","beep_response","length1","length2","videoname","Task.Version","Spreadsheet","Response","display","row_number","filename","Experiment.Version","Participant.OS","Participant.Browser","randomiser.t27m","date.of.birth.year","date.of.birth.month","sex","languages","response.6","response.6.text","mask.problems","Difficulty.x","Tiring","more.info.on.masks","Difficulty.y","Distraction","response.4.1","response.4.2","response.4.3","response.4.4","response.4.text","response.5","Comments","block","SUBJECT","ITEM","RT","GROUP","AUDIO","VISUAL","PREDICT","ACC","CONDITION","TRIAL","BLOCK","AGE","SEX"
"5466","210725_a132",14693662,465.730920170043,214.453777312912,0,"knock","80H","lock","aM","vM","H","a","aMvM",2.58249061603257,2.11675969586253,2.36803683871966,"80H_aM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14693662?filename=audioFile-47-2.weba","Block1",36,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-b6hw.csv",9,"Windows 10","Chrome 91.0.4472.124","Version1",23,1,"Female","English","Born and raised in the UK","","Yes sometimes",3,2,"",1,1,"Everything worked well","","","","","","",2,"210725_a132","80H",214.453777312912,"a","aM","vM","H","0","aMvM",36,"2",23.0833333333333,"Female"
"5468","210725_a132",14693662,403.419037508225,61.5978569527442,0,"voiced g","82L","lungs","aM","vNM","L","a","aMvNM",3.03864328250756,2.63522424499934,2.97704542555482,"82L_aM_vNM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14693662?filename=audioFile-126-2.weba","Block1",111,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-b6hw.csv",9,"Windows 10","Chrome 91.0.4472.124","Version1",23,1,"Female","English","Born and raised in the UK","","Yes sometimes",3,2,"",1,1,"Everything worked well","","","","","","",4,"210725_a132","82L",61.5978569527442,"a","aM","vNM","L","0","aMvNM",111,"4",23.0833333333333,"Female"
"5483","210725_a132",14693662,682.29066606585,541.128539997489,0,"time?","98L","pine","aM","vM","L","a","aMvM",2.59906390386783,1.91677323780198,2.05793536387034,"98L_aM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14693662?filename=audioFile-45-2.weba","Block1",34,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-b6hw.csv",9,"Windows 10","Chrome 91.0.4472.124","Version1",23,1,"Female","English","Born and raised in the UK","","Yes sometimes",3,2,"",1,1,"Everything worked well","","","","","","",2,"210725_a132","98L",541.128539997489,"a","aM","vM","L","0","aMvM",34,"2",23.0833333333333,"Female"
"5556","210725_a133",14990368,850.790049332747,665.286408468997,0,"unsure_beat?","4L","beak","aNM","vNM","L","a","aNMvNM",3.05421477974389,2.20342473041114,2.38892837127489,"4L_aNM_vNM.mp4",7,"Version8","https://gorilla.sc/uploads/schedule/14990368?filename=4LaNMvNMmp4-87-2.weba","Block1",74,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-fbmh.csv",9,"Windows 10","Edge 92.0.902.67","Version8",42,4,"Female","English","Born and raised in the UK","","Yes sometimes",2,3,"Face masks sometimes result in muffled speech which is difficult to understand, especially in settings with higher levels of background noise i.e. ordering at a coffee shop",2,2,"Everything worked well","","","","","","",3,"210725_a133","4L",665.286408468997,"a","aNM","vNM","L","0","aNMvNM",74,"3",42.3333333333333,"Female"
"5610","210725_a136",14837862,1299.33721730329,1224.25346730331,0,"unsure_grow?","108H","row","aM","vNM","H","a","aMvNM",3.78723772966346,2.48790051236017,2.56298426236015,"108H_aM_vNM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14837862?filename=audioFile-120-2.weba","Block1",105,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-7xnq.csv",9,"Windows 10","Chrome 92.0.4515.107","Version4",21,11,"Female","English","Born and raised in the UK","","Yes sometimes",3,4,"Greater dissociation/ have to concentrate more on the speech rather than other communication methods (like facial expression)",3,2,"","There were issues with the videos","There were issues with the sound","","","Video and sound froze (most of the time ~0.1s before ending) (this did not happen in the practice and wasn't sure if it was a part of the game (so sometimes repeated word twice in case the voice recording cut out as well)","",4,"210725_a136","108H",1224.25346730331,"a","aM","vNM","H","0","aMvNM",105,"4",21.9166666666667,"Female"
"5675","210725_a136",14837862,1198.20830496037,983.749882595694,0,"unsure_beaHk?","4H","beak","aM","vM","H","a","aMvM",3.61720246403993,2.41899415907956,2.63345258144424,"4H_aM_vM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14837862?filename=audioFile-131-2.weba","Block1",116,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-7xnq.csv",9,"Windows 10","Chrome 92.0.4515.107","Version4",21,11,"Female","English","Born and raised in the UK","","Yes sometimes",3,4,"Greater dissociation/ have to concentrate more on the speech rather than other communication methods (like facial expression)",3,2,"","There were issues with the videos","There were issues with the sound","","","Video and sound froze (most of the time ~0.1s before ending) (this did not happen in the practice and wasn't sure if it was a part of the game (so sometimes repeated word twice in case the voice recording cut out as well)","",4,"210725_a136","4H",983.749882595694,"a","aM","vM","H","0","aMvM",116,"4",21.9166666666667,"Female"
"5681","210725_a136",14837862,1549.3914465591,1432.27010646902,0,"discard_bowl","58L","goal","aM","vNM","L","a","aMvNM",3.50326213871509,1.95387069215599,2.07099203224607,"58L_aM_vNM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14837862?filename=audioFile-54-2.weba","Block1",43,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-7xnq.csv",9,"Windows 10","Chrome 92.0.4515.107","Version4",21,11,"Female","English","Born and raised in the UK","","Yes sometimes",3,4,"Greater dissociation/ have to concentrate more on the speech rather than other communication methods (like facial expression)",3,2,"","There were issues with the videos","There were issues with the sound","","","Video and sound froze (most of the time ~0.1s before ending) (this did not happen in the practice and wasn't sure if it was a part of the game (so sometimes repeated word twice in case the voice recording cut out as well)","",2,"210725_a136","58L",1432.27010646902,"a","aM","vNM","L","0","aMvNM",43,"2",21.9166666666667,"Female"
"5737","210725_a138",14861730,434.846696305388,130.870505829088,0,"unsure_sides?","117L","slice","aM","vM","L","a","aMvM",2.67919836523698,2.24435166893159,2.54832785940789,"117L_aM_vM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14861730?filename=audioFile-21-2.weba","Block1",12,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-8anv.csv",9,"Windows 10","Edge 92.0.902.62","Version2",30,2,"Female","English","Born and raised in the UK","","Yes sometimes",3,3,"",2,2,"Everything worked well","","","","","","Thanks for letting me take part!",1,"210725_a138","117L",130.870505829088,"a","aM","vM","L","0","aMvM",12,"1",30.1666666666667,"Female"
"5740","210725_a138",14861730,358.52249320886,-64.3101935728394,0,"unsure_overlapped with alice","120H","sponge","aNM","vNM","H","a","aNMvNM",2.56826296567727,2.20974047246841,2.63257315925011,"120H_aNM_vNM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14861730?filename=audioFile-35-2.weba","Block1",26,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-8anv.csv",9,"Windows 10","Edge 92.0.902.62","Version2",30,2,"Female","English","Born and raised in the UK","","Yes sometimes",3,3,"",2,2,"Everything worked well","","","","","","Thanks for letting me take part!",1,"210725_a138","120H",-64.3101935728394,"a","aNM","vNM","H","0","aNMvNM",26,"1",30.1666666666667,"Female"
"5761","210725_a138",14861730,404.631903042085,324.386863359545,0,"unsure_brew?","14L","broom","aM","vM","L","a","aMvM",2.95130556832954,2.54667366528746,2.62691870497,"14L_aM_vM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14861730?filename=audioFile-46-2.weba","Block1",35,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-8anv.csv",9,"Windows 10","Edge 92.0.902.62","Version2",30,2,"Female","English","Born and raised in the UK","","Yes sometimes",3,3,"",2,2,"Everything worked well","","","","","","Thanks for letting me take part!",2,"210725_a138","14L",324.386863359545,"a","aM","vM","L","0","aMvM",35,"2",30.1666666666667,"Female"
"5800","210725_a138",14861730,454.618718081886,371.804333161295,0,"discard_gang","59L","gown","aNM","vM","L","a","aNMvM",2.76016326869095,2.30554455060906,2.38835893552965,"59L_aNM_vM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14861730?filename=audioFile-66-2.weba","Block1",55,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-8anv.csv",9,"Windows 10","Edge 92.0.902.62","Version2",30,2,"Female","English","Born and raised in the UK","","Yes sometimes",3,3,"",2,2,"Everything worked well","","","","","","Thanks for letting me take part!",2,"210725_a138","59L",371.804333161295,"a","aNM","vM","L","0","aNMvM",55,"2",30.1666666666667,"Female"
"5924","210725_a152",15094721,719.025398356447,645.151630240487,0,"unsure_'hen'?","62L","hay","aM","vM","L","a","aMvM",2.37779770497082,1.65877230661437,1.73264607473033,"62L_aM_vM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/15094721?filename=62LaMvMmp4-128-2.weba","Block1",113,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-7xnq.csv",9,"Mac OS 10.13.6","Chrome 92.0.4515.107","Version4",29,9,"Male","English","Born and raised in the UK","","Yes sometimes",2,1,"",1,1,"Everything worked well","","","","","one word confirmation did not load","none",4,"210725_a152","62L",645.151630240487,"a","aM","vM","L","0","aMvM",113,"4",29.75,"Male"
"6141","210725_a81",15036602,520.042289384464,386.924642325624,0,"unsure__curl?","35L","curb","aM","vNM","L","a","aMvNM",2.74750253872855,2.22746024934409,2.36057789640293,"35L_aM_vNM.mp4",7,"Version3","https://gorilla.sc/uploads/schedule/15036602?filename=35LaMvNMmp4-60-2.weba","Block1",49,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-75wy.csv",9,"Mac OS 10.15","Firefox 89.0","Version3",29,0,"Female","English","Raised in the UK from this age (please specify):","Lived in the UK ages 0-4, 8-12, 15-17 then also in adulthood.","Yes sometimes",3,4,"It's harder when you don't know someone e.g. in a shop. Or if there are barriers between you e.g. perspex in shop.",2,2,"Everything worked well","","","","","","",2,"210725_a81","35L",386.924642325624,"a","aM","vNM","L","0","aMvNM",49,"2",29,"Female"
"6145","210725_a81",15036602,1985.75088243203,1693.25841745274,0,"a dent","39L","dent","aM","vNM","L","a","aMvNM",3.89621135124261,1.91046046881058,2.20295293378987,"39L_aM_vNM.mp4",7,"Version3","https://gorilla.sc/uploads/schedule/15036602?filename=39LaMvNMmp4-84-2.weba","Block1",71,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-75wy.csv",9,"Mac OS 10.15","Firefox 89.0","Version3",29,0,"Female","English","Raised in the UK from this age (please specify):","Lived in the UK ages 0-4, 8-12, 15-17 then also in adulthood.","Yes sometimes",3,4,"It's harder when you don't know someone e.g. in a shop. Or if there are barriers between you e.g. perspex in shop.",2,2,"Everything worked well","","","","","","",3,"210725_a81","39L",1693.25841745274,"a","aM","vNM","L","0","aMvNM",71,"3",29,"Female"
"6181","210725_a81",15036602,672.156499845722,384.030678827652,0,"unsure_brand?","7L","bend","aM","vNM","L","a","aMvNM",2.8269756758321,2.15481917598638,2.44294499700445,"7L_aM_vNM.mp4",7,"Version3","https://gorilla.sc/uploads/schedule/15036602?filename=7LaMvNMmp4-109-2.weba","Block1",94,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-75wy.csv",9,"Mac OS 10.15","Firefox 89.0","Version3",29,0,"Female","English","Raised in the UK from this age (please specify):","Lived in the UK ages 0-4, 8-12, 15-17 then also in adulthood.","Yes sometimes",3,4,"It's harder when you don't know someone e.g. in a shop. Or if there are barriers between you e.g. perspex in shop.",2,2,"Everything worked well","","","","","","",4,"210725_a81","7L",384.030678827652,"a","aM","vNM","L","0","aMvNM",94,"4",29,"Female"
"6182","210725_a81",15036602,663.633364573681,398.764961795902,0,"unsure_the lock","80L","lock","aM","vNM","L","a","aMvNM",2.83485960263789,2.17122623806421,2.43609464084199,"80L_aM_vNM.mp4",7,"Version3","https://gorilla.sc/uploads/schedule/15036602?filename=80LaMvNMmp4-89-2.weba","Block1",76,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-75wy.csv",9,"Mac OS 10.15","Firefox 89.0","Version3",29,0,"Female","English","Raised in the UK from this age (please specify):","Lived in the UK ages 0-4, 8-12, 15-17 then also in adulthood.","Yes sometimes",3,4,"It's harder when you don't know someone e.g. in a shop. Or if there are barriers between you e.g. perspex in shop.",2,2,"Everything worked well","","","","","","",3,"210725_a81","80L",398.764961795902,"a","aM","vNM","L","0","aMvNM",76,"3",29,"Female"
"6294","210725_a84",14783259,752.911114462736,526.033332662226,0,"unsure_chunk?","73L","junk","aM","vNM","L","a","aMvNM",2.89174661415132,2.13883549968858,2.36571328148909,"73L_aM_vNM.mp4",7,"Version6","https://gorilla.sc/uploads/schedule/14783259?filename=audioFile-124-2.weba","Block1",109,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-11ne.csv",9,"Mac OS 10.14.6","Chrome 92.0.4515.107","Version6",25,6,"Female","English","Raised in the UK from this age (please specify):","4","Yes sometimes",3,3,"It is much harder when they have an accent or when in a crowded and noisy place such as a restaurant or on a train",1,2,"Everything worked well","","","","","n/a","",4,"210725_a84","73L",526.033332662226,"a","aM","vNM","L","0","aMvNM",109,"4",25.5,"Female"
"6366","210725_a98",15151086,401.192807069577,218.344874620077,0,"sound like 'clock'","21L","clerk","aM","vM","L","a","aMvM",2.56004562544891,2.15885281837933,2.34170075082883,"21L_aM_vM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/15151086?filename=21LaMvMmp4-87-2.weba","Block1",74,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-7xnq.csv",9,"Ubuntu undefined","Firefox 91.0","Version4",31,9,"Male","English","Born and raised in the UK","","Yes sometimes",2,2,"",2,3,"Everything worked well","","There were issues with the sound","","I got flustered for a couple.","The very first test word """"cards"""" was difficult to hear through my laptop speakers, but then I connected an external speaker and that worked fine.","",3,"210725_a98","21L",218.344874620077,"a","aM","vM","L","0","aMvM",74,"3",31.75,"Male"
"6402","210725_a98",15151086,408.962378020338,320.299065326848,0,"sound like 'grown'","61H","growl","aNM","vNM","H","a","aNMvNM",2.55034748827231,2.14138511025197,2.23004842294546,"61H_aNM_vNM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/15151086?filename=61HaNMvNMmp4-62-2.weba","Block1",51,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-7xnq.csv",9,"Ubuntu undefined","Firefox 91.0","Version4",31,9,"Male","English","Born and raised in the UK","","Yes sometimes",2,2,"",2,3,"Everything worked well","","There were issues with the sound","","I got flustered for a couple.","The very first test word """"cards"""" was difficult to hear through my laptop speakers, but then I connected an external speaker and that worked fine.","",2,"210725_a98","61H",320.299065326848,"a","aNM","vNM","H","0","aNMvNM",51,"2",31.75,"Male"
"6428","210725_a98",15151086,517.384805074639,285.079128746188,0,"'house'","88L","mouse","aM","vNM","L","a","aMvNM",2.90363438840035,2.38624958332571,2.61855525965416,"88L_aM_vNM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/15151086?filename=88LaMvNMmp4-39-2.weba","Block1",30,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-7xnq.csv",9,"Ubuntu undefined","Firefox 91.0","Version4",31,9,"Male","English","Born and raised in the UK","","Yes sometimes",2,2,"",2,3,"Everything worked well","","There were issues with the sound","","I got flustered for a couple.","The very first test word """"cards"""" was difficult to hear through my laptop speakers, but then I connected an external speaker and that worked fine.","",1,"210725_a98","88L",285.079128746188,"a","aM","vNM","L","0","aMvNM",30,"1",31.75,"Male"
"6435","210725_a98",15151086,467.956825741367,401.942354101977,0,"'prie'?","95H","pie","aNM","vM","H","a","aNMvM",2.79725689723185,2.32930007149048,2.39531454312987,"95H_aNM_vM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/15151086?filename=95HaNMvMmp4-30-2.weba","Block1",21,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-7xnq.csv",9,"Ubuntu undefined","Firefox 91.0","Version4",31,9,"Male","English","Born and raised in the UK","","Yes sometimes",2,2,"",2,3,"Everything worked well","","There were issues with the sound","","I got flustered for a couple.","The very first test word """"cards"""" was difficult to hear through my laptop speakers, but then I connected an external speaker and that worked fine.","",1,"210725_a98","95H",401.942354101977,"a","aNM","vM","H","0","aNMvM",21,"1",31.75,"Male"
"6470","210725_c124",15410143,493.038164598331,294.696079542361,0,"quail","136H","trail","aM","vNM","H","c","aMvNM",2.30150333098318,1.80846516638485,2.00680725144082,"136H_aM_vNM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/15410143?filename=136HaMvNMmp4-51-2.weba","Block1",40,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",9,"Windows 10","Chrome 92.0.4515.159","Version1",9,3,"Male","English","Born and raised in the UK","","No",2,2,"",2,3,"","There were issues with the videos","","","","slow to load videos and had to refresh a few times. it has taken us 25hours to upload all our results at the end too !","instructions were all really clear and easily understood, thank you",2,"210725_c124","136H",294.696079542361,"c","aM","vNM","H","0","aMvNM",40,"2",9.25,"Male"
"6479","210725_c124",15410143,841.225998468005,608.746039891015,0,"discard_car","17L","calf","aM","vM","L","c","aMvM",3.56467079202793,2.72344479355992,2.95592475213691,"17L_aM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/15410143?filename=17LaMvMmp4-89-2.weba","Block1",76,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",9,"Windows 10","Chrome 92.0.4515.159","Version1",9,3,"Male","English","Born and raised in the UK","","No",2,2,"",2,3,"","There were issues with the videos","","","","slow to load videos and had to refresh a few times. it has taken us 25hours to upload all our results at the end too !","instructions were all really clear and easily understood, thank you",3,"210725_c124","17L",608.746039891015,"c","aM","vM","L","0","aMvM",76,"3",9.25,"Male"
"6480","210725_c124",15410143,601.341888933231,415.942087345941,0,"unsure_cat?","19L","chat","aNM","vM","L","c","aNMvM",2.96280361676446,2.36146172783123,2.54686152941852,"19L_aNM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/15410143?filename=19LaNMvMmp4-114-2.weba","Block1",99,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",9,"Windows 10","Chrome 92.0.4515.159","Version1",9,3,"Male","English","Born and raised in the UK","","No",2,2,"",2,3,"","There were issues with the videos","","","","slow to load videos and had to refresh a few times. it has taken us 25hours to upload all our results at the end too !","instructions were all really clear and easily understood, thank you",4,"210725_c124","19L",415.942087345941,"c","aNM","vM","L","0","aNMvM",99,"4",9.25,"Male"
"6507","210725_c124",15410143,699.43485411871,515.06828339503,0,"unsure_bleak?","4L","beak","aM","vNM","L","c","aMvNM",2.91680993495666,2.21737508083795,2.40174165156163,"4L_aM_vNM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/15410143?filename=4LaMvNMmp4-66-2.weba","Block1",55,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",9,"Windows 10","Chrome 92.0.4515.159","Version1",9,3,"Male","English","Born and raised in the UK","","No",2,2,"",2,3,"","There were issues with the videos","","","","slow to load videos and had to refresh a few times. it has taken us 25hours to upload all our results at the end too !","instructions were all really clear and easily understood, thank you",2,"210725_c124","4L",515.06828339503,"c","aM","vNM","L","0","aMvNM",55,"2",9.25,"Male"
"6521","210725_c124",15410143,675.646401333016,563.378901333036,0,"unsure_had?","65H","herd","aM","vNM","H","c","aMvNM",3.01861407672843,2.34296767539541,2.45523517539539,"65H_aM_vNM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/15410143?filename=65HaMvNMmp4-48-2.weba","Block1",37,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",9,"Windows 10","Chrome 92.0.4515.159","Version1",9,3,"Male","English","Born and raised in the UK","","No",2,2,"",2,3,"","There were issues with the videos","","","","slow to load videos and had to refresh a few times. it has taken us 25hours to upload all our results at the end too !","instructions were all really clear and easily understood, thank you",2,"210725_c124","65H",563.378901333036,"c","aM","vNM","H","0","aMvNM",37,"2",9.25,"Male"
"6523","210725_c124",15410143,1104.5251633015,837.535489388471,0,"unsure_haps?","67L","hips","aM","vM","L","c","aMvM",3.28414808687438,2.17962292357288,2.44661259748591,"67L_aM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/15410143?filename=67LaMvMmp4-28-2.weba","Block1",19,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",9,"Windows 10","Chrome 92.0.4515.159","Version1",9,3,"Male","English","Born and raised in the UK","","No",2,2,"",2,3,"","There were issues with the videos","","","","slow to load videos and had to refresh a few times. it has taken us 25hours to upload all our results at the end too !","instructions were all really clear and easily understood, thank you",1,"210725_c124","67L",837.535489388471,"c","aM","vM","L","0","aMvM",19,"1",9.25,"Male"
"6551","210725_c124",15410143,717.641382436508,576.479256368148,0,"discard_time","98L","pine","aM","vM","L","c","aMvM",2.63441462023849,1.91677323780198,2.05793536387034,"98L_aM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/15410143?filename=98LaMvMmp4-129-2.weba","Block1",114,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",9,"Windows 10","Chrome 92.0.4515.159","Version1",9,3,"Male","English","Born and raised in the UK","","No",2,2,"",2,3,"","There were issues with the videos","","","","slow to load videos and had to refresh a few times. it has taken us 25hours to upload all our results at the end too !","instructions were all really clear and easily understood, thank you",4,"210725_c124","98L",576.479256368148,"c","aM","vM","L","0","aMvM",114,"4",9.25,"Male"
"6580","210725_c125",15465974,785.88388332204,440.69811352435,0,"unsure_don't know the word? Or problem with 'th'","132L","thorns","aM","vNM","L","c","aMvNM",3.09590733276454,2.3100234494425,2.65520921924019,"132L_aM_vNM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/15465974?filename=132LaMvNMmp4-120-2.weba","Block1",105,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",9,"Windows 10","Chrome 92.0.4515.159","Version2",0,0,"Male","English","Born and raised in the UK","","I don't know",2,2,"can be a bit muffled he says",1,2,"","There were issues with the videos","","","","took time to load videosa. 12 hours or so to upload all the info at the end","",4,"210725_c125","132L",440.69811352435,"c","aM","vNM","L","0","aMvNM",105,"4",0,"Male"
"6609","210725_c125",15465974,672.961495085357,486.274736192087,0,"discard_stack","37H","deck","aM","vNM","H","c","aMvNM",2.24865087531808,1.57568938023272,1.76237613912599,"37H_aM_vNM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/15465974?filename=37HaMvNMmp4-87-2.weba","Block1",74,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",9,"Windows 10","Chrome 92.0.4515.159","Version2",0,0,"Male","English","Born and raised in the UK","","I don't know",2,2,"can be a bit muffled he says",1,2,"","There were issues with the videos","","","","took time to load videosa. 12 hours or so to upload all the info at the end","",3,"210725_c125","37H",486.274736192087,"c","aM","vNM","H","0","aMvNM",74,"3",0,"Male"
"6616","210725_c125",15465974,512.065769610648,294.869746883388,0,"discard_duck","43H","dove","aNM","vNM","H","c","aNMvNM",2.49705009045684,1.98498432084619,2.20218034357345,"43H_aNM_vNM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/15465974?filename=43HaNMvNMmp4-74-2.weba","Block1",61,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",9,"Windows 10","Chrome 92.0.4515.159","Version2",0,0,"Male","English","Born and raised in the UK","","I don't know",2,2,"can be a bit muffled he says",1,2,"","There were issues with the videos","","","","took time to load videosa. 12 hours or so to upload all the info at the end","",3,"210725_c125","43H",294.869746883388,"c","aNM","vNM","H","0","aNMvNM",61,"3",0,"Male"
"6627","210725_c125",15465974,631.245369303888,518.482472478488,0,"discard_bream","5H","beam","aNM","vM","H","c","aNMvM",2.75489007589991,2.12364470659602,2.23640760342142,"5H_aNM_vM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/15465974?filename=5HaNMvMmp4-47-2.weba","Block1",36,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",9,"Windows 10","Chrome 92.0.4515.159","Version2",0,0,"Male","English","Born and raised in the UK","","I don't know",2,2,"can be a bit muffled he says",1,2,"","There were issues with the videos","","","","took time to load videosa. 12 hours or so to upload all the info at the end","",2,"210725_c125","5H",518.482472478488,"c","aNM","vM","H","0","aNMvM",36,"2",0,"Male"
"6686","210725_c128",15186960,400.818689931111,205.152680423291,0,"discard_changed her answer","121L","spool","aM","vNM","L","c","aMvNM",2.53175721517909,2.13093852524798,2.3266045347558,"121L_aM_vNM.mp4",7,"Version5","https://gorilla.sc/uploads/schedule/15186960?filename=121LaMvNMmp4-66-2.weba","Block1",55,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-jhw4.csv",9,"Chromium OS 13904.41.0","Chrome 91.0.4472.81","Version5",10,9,"Male","English","Born and raised in the UK","","No",2,3,"It has not been discussed as my child has had minimal contact with people wearing face masks (his teachers wore transparent face shields).",2,3,"Everything worked well","","","","","","",2,"210725_c128","121L",205.152680423291,"c","aM","vNM","L","0","aMvNM",55,"2",10.75,"Male"
"6736","210725_c128",15186960,746.802681161423,534.292127433363,0,"discard_joke","46L","drug","aM","vNM","L","c","aMvNM",2.57992796954849,1.83312528838707,2.04563584211513,"46L_aM_vNM.mp4",7,"Version5","https://gorilla.sc/uploads/schedule/15186960?filename=46LaMvNMmp4-51-2.weba","Block1",40,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-jhw4.csv",9,"Chromium OS 13904.41.0","Chrome 91.0.4472.81","Version5",10,9,"Male","English","Born and raised in the UK","","No",2,3,"It has not been discussed as my child has had minimal contact with people wearing face masks (his teachers wore transparent face shields).",2,3,"Everything worked well","","","","","","",2,"210725_c128","46L",534.292127433363,"c","aM","vNM","L","0","aMvNM",40,"2",10.75,"Male"
