parid,scheduleID,react1,react2,accuracy,note,number,correctans,audio,video,context,group,type,beep_response,length1,length2
210719_a41,14610319,1287.809859,1182.936843,1,,33L,crown,aNM,vNM,L,a,aNMvNM,3.186094634,1.898284775,2.003157791
210719_a41,14610319,1225.589168,1025.72546,1,,35H,curb,aM,vM,H,a,aMvM,3.639589266,2.414000097,2.613863805
210719_a41,14610319,1369.409844,1178.245462,1,,36H,dart,aNM,vM,H,a,aNMvM,3.537037793,2.167627949,2.358792331
210719_a41,14610319,1597.909254,1386.957649,1,,37L,deck,aM,vNM,L,a,aMvNM,3.767462682,2.169553428,2.380505033
210719_a41,14610319,1149.786181,1047.373979,0,wrongthencorrectsit,38H,den,aNM,vNM,H,a,aNMvNM,3.595844609,2.446058428,2.54847063
210719_a41,14610319,1423.292917,1116.380678,1,,39H,dent,aM,vM,H,a,aMvM,3.164189075,1.740896157,2.047808397
210719_a41,14610319,1154.394539,1096.549162,1,,3H,bay,aNM,vM,H,a,aNMvM,3.047457332,1.893062793,1.95090817
210719_a41,14610319,1346.38917,998.4914028,1,,40H,ditch,aNM,vM,H,a,aNMvM,3.177396214,1.831007044,2.178904811
210719_a41,14610319,1072.636935,1009.122799,1,,41L,dive,aM,vNM,L,a,aMvNM,3.640007669,2.567370734,2.630884871
210719_a41,14610319,1428.727704,1331.860402,1,,42H,doll,aNM,vNM,H,a,aNMvNM,3.357181079,1.928453375,2.025320677
210719_a41,14610319,1156.240661,933.1573279,1,,43H,dove,aM,vM,H,a,aMvM,3.186948588,2.030707927,2.25379126
210719_a41,14610319,1290.203238,979.0307585,1,,44L,draft,aNM,vNM,L,a,aNMvNM,3.807573462,2.517370224,2.828542703
210719_a41,14610319,1224.619314,1132.856653,1,,45H,drain,aM,vNM,H,a,aMvNM,3.733231968,2.508612654,2.600375315
210719_a41,14610319,1396.802265,1236.185598,1,,46H,drug,aNM,vM,H,a,aNMvM,3.678512605,2.28171034,2.442327007
210719_a41,14610319,1440.322447,1297.653834,1,,47L,drum,aM,vNM,L,a,aMvNM,3.446834802,2.006512354,2.149180967
210719_a41,14610319,1479.131393,1180.680467,1,,48L,feast,aNM,vM,L,a,aNMvM,3.21015129,1.731019897,2.029470823
210719_a41,14610319,1288.374045,1104.007475,1,,4L,beak,aM,vNM,L,a,aMvNM,3.505749126,2.217375081,2.401741652
210719_a41,14610319,1281.521647,1190.860144,1,,50H,flame,aNM,vNM,H,a,aNMvNM,3.367359044,2.085837397,2.1764989
