label	sentence	time
b	8LaNMvNM	831.1834291211096
r	8LaNMvNM	833.92275
b	90LaNMvNM	836.7269828178572
b	91LaMvM	841.9798615402174
r	91LaMvM	845.03303125
b	93HaNMvM	850.2978219422292
r	93HaNMvM	853.8489583333333
b	94HaMvNM	856.7554060251258
r	94HaMvNM	860.1516458333334
b	95LaNMvNM	862.069619774802
r	95LaNMvNM	865.5822395833334
b	96LaMvM	869.8059164323846
r	96LaMvM	873.4338020833333
b	97HaNMvM	876.7076258809942
r	97HaNMvM	880.7213020833333
b	98HaMvNM	884.397148805571
r	98HaMvNM	888.4846145833333
b	99LaNMvNM	892.0536336167098
r	99LaNMvNM	894.6903645833333
b	9LaMvM	898.2588389971149
r	9LaMvM	901.8172395833334
